Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Predicted Rings,Residual Rings,Studentized Resid Rings
F,1,0,1,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11,9.6819212023,1.3180787977,0.6371755188
F,1,0,1,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6,6.493741712,-0.493741712,-0.24432282
M,1,1,0,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,8.0158830737,-1.015883074,-0.491490764
M,1,1,0,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,10.24279065,-2.24279065,-1.08473447
F,1,0,1,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10,10.345421078,-0.345421078,-0.166875495
I,0,0,0,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,5.236646958,1.763353042,0.8638855023
M,1,1,0,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12,13.750260128,-1.750260128,-0.847313361
M,1,1,0,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12,10.781927214,1.2180727863,0.5889459311
M,1,1,0,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9,10.225438014,-1.225438014,-0.59221804
M,1,1,0,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6,7.2632501536,-1.263250154,-0.611273453
F,1,0,1,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10,10.384834431,-0.384834431,-0.185856642
M,1,1,0,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,9.1366633729,-0.136663373,-0.066038079
F,1,0,1,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8,10.070537647,-2.070537647,-1.001821289
M,1,1,0,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12,9.1212258499,2.8787741501,1.3993163453
F,1,0,1,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9,12.155257627,-3.155257627,-1.530704884
F,1,0,1,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10,11.416784875,-1.416784875,-0.685096344
F,1,0,1,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16,11.505394561,4.4946054386,2.1791983072
M,1,1,0,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14,13.408056251,0.5919437491,0.2865386424
F,1,0,1,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10,9.8192263468,0.1807736532,0.0873561132
I,0,0,0,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,6.2615364663,0.7384635337,0.3565648625
I,0,0,0,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9,8.0078750151,0.9921249849,0.4789856016
M,1,1,0,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10,9.3351501661,0.6648498339,0.321397851
M,1,1,0,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9,9.7942553126,-0.794255313,-0.383843162
F,1,0,1,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,9.5312558067,-0.531255807,-0.256835917
M,1,1,0,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11,10.138545592,0.8614544075,0.418105425
M,1,1,0,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12,11.237202989,0.7627970107,0.3691141309
M,1,1,0,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,9.1166899573,-1.116689957,-0.54023682
M,1,1,0,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7,6.4443303589,0.5556696411,0.2697170139
M,1,1,0,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10,9.6505972367,0.3494027633,0.1688508733
F,1,0,1,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18,11.974527018,6.0254729818,2.9269846284
F,1,0,1,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8,8.9800233586,-0.980023359,-0.475090581
I,0,0,0,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,5.7264135565,-0.726413556,-0.351600518
M,1,1,0,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,10.688572365,-0.688572365,-0.332590458
M,1,1,0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16,14.807887143,1.1921128572,0.5778105772
M,1,1,0,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,15.356058158,-3.356058158,-1.640424199
M,1,1,0,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17,17.680161894,-0.680161894,-0.342296086
M,1,1,0,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14,13.002438872,0.9975611285,0.4856666645
F,1,0,1,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,11.407043995,0.5929560052,0.2868449036
M,1,1,0,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19,13.440766923,5.5592330767,2.719137744
F,1,0,1,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17,17.91269823,-0.91269823,-0.474658352
F,1,0,1,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11,11.839416244,-0.839416244,-0.409524737
F,1,0,1,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,11.449617773,-2.449617773,-1.186488204
M,1,1,0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5,8.3655905106,-3.365590511,-1.630721424
F,1,0,1,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,11.988452587,-2.988452587,-1.453445364
I,0,0,0,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6,7.1640556576,-1.164055658,-0.562101837
F,1,0,1,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5,8.2337931572,-3.233793157,-1.568595804
M,1,1,0,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6,7.3987575777,-1.398757578,-0.677909189
I,0,0,0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4,3.2172011747,0.7827988253,0.3838161867
M,1,1,0,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,6.6240675582,0.3759324418,0.1822200827
I,0,0,0,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6,3.7723024251,2.2276975749,1.0847190345
I,0,0,0,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,4.169184228,0.830815772,0.4040085043
M,1,1,0,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,9.9081674952,0.0918325048,0.0445333115
F,1,0,1,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13,11.627452003,1.372547997,0.6630247539
M,1,1,0,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12,13.781867599,-1.781867599,-0.863079641
F,1,0,1,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20,14.269579231,5.7304207694,2.7766346046
F,1,0,1,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,18.670136055,-4.670136055,-2.318712014
F,1,0,1,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15,13.732696483,1.2673035172,0.6145143081
F,1,0,1,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14,15.826091112,-1.826091112,-0.900668808
F,1,0,1,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21,15.194452193,5.8055478065,2.9883393299
M,1,1,0,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,12.816372374,3.183627626,1.5397936075
M,1,1,0,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13,14.969471805,-1.969471805,-0.952857315
M,1,1,0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6,17.125187542,-11.12518754,-5.42458894
I,0,0,0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6,6.2547330356,-0.254733036,-0.122995654
M,1,1,0,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,9.1879899152,-0.187989915,-0.090778301
F,1,0,1,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9,9.7712579784,-0.771257978,-0.372532105
M,1,1,0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14,13.710728659,0.2892713408,0.1399591621
M,1,1,0,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12,10.181101912,1.8188980882,0.8784775073
F,1,0,1,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,10.701028208,-0.701028208,-0.338824307
M,1,1,0,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11,13.735417697,-2.735417697,-1.322843474
M,1,1,0,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,15.720130308,-0.720130308,-0.349656667
F,1,0,1,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,11.796744352,2.203255648,1.0668354176
I,0,0,0,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6,5.0436996951,0.9563003049,0.4630542909
I,0,0,0,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13,8.5674092819,4.4325907181,2.1408814777
I,0,0,0,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5,6.4048673988,-1.404867399,-0.681024234
I,0,0,0,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11,7.2318015956,3.7681984044,1.8192439101
I,0,0,0,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,8.2524688697,1.7475311303,0.8438928051
I,0,0,0,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6,5.9559152178,0.0440847822,0.0213333349
F,1,0,1,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21,15.8743585,5.1256414995,2.5198648941
F,1,0,1,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,13.443512438,-0.443512438,-0.214814103
F,1,0,1,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25,19.002243496,5.9977565038,2.9842441937
M,1,1,0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19,12.263369407,6.7366305928,3.2694021446
M,1,1,0,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18,14.89710868,3.1028913197,1.5037414605
M,1,1,0,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7,9.3028931297,-2.30289313,-1.114032513
I,0,0,0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6,6.2650210696,-0.26502107,-0.128193496
F,1,0,1,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5,7.5665316631,-2.566531663,-1.253722119
M,1,1,0,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8,9.446591056,-1.446591056,-0.699094116
F,1,0,1,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16,19.234335247,-3.234335247,-1.614513614
F,1,0,1,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27,20.62354863,6.3764513704,3.1649749028
M,1,1,0,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18,20.298058335,-2.298058335,-1.138760721
M,1,1,0,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17,15.207109193,1.7928908067,0.8726621092
F,1,0,1,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13,16.604303712,-3.604303712,-1.800403677
M,1,1,0,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17,17.075149853,-0.075149853,-0.036845374
F,1,0,1,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8,10.630105807,-2.630105807,-1.272004606
F,1,0,1,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10,11.695472275,-1.695472275,-0.819994612
I,0,0,0,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7,6.9086871858,0.0913128142,0.0441114781
F,1,0,1,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,12.115786279,0.8842137214,0.4276977139
M,1,1,0,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14,12.137477494,1.862522506,0.9002829127
F,1,0,1,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13,10.941594632,2.0584053677,0.9945911978
F,1,0,1,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8,10.122818015,-2.122818015,-1.031429458
M,1,1,0,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17,14.039996489,2.9600035112,1.4322305204
F,1,0,1,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,17.029879285,-4.029879285,-1.96809514
F,1,0,1,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14,16.191225565,-2.191225565,-1.063377145
F,1,0,1,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,12.46221392,-3.46221392,-1.672759789
M,1,1,0,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13,11.322492782,1.6775072177,0.811069168
I,0,0,0,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7,8.0617543868,-1.061754387,-0.513473101
I,0,0,0,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7,5.9051508447,1.0948491553,0.5290308846
F,1,0,1,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12,11.749522286,0.2504777138,0.1212173397
M,1,1,0,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7,8.7542125451,-1.754212545,-0.847892929
M,1,1,0,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,12.881079807,0.118920193,0.0575127685
F,1,0,1,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9,12.624291935,-3.624291935,-1.752029802
F,1,0,1,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,12.176037776,-3.176037776,-1.535053836
M,1,1,0,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17,13.218362759,3.7816372407,1.8261075071
F,1,0,1,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14,13.063769302,0.9362306978,0.4522505615
M,1,1,0,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13,15.445300077,-2.445300077,-1.183186459
F,1,0,1,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15,12.936687611,2.0633123887,0.9981782547
M,1,1,0,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,16.120573237,0.8794267633,0.425994465
I,0,0,0,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8,7.3229392874,0.6770607126,0.3274868678
F,1,0,1,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8,9.6263795835,-1.626379583,-0.785980556
M,1,1,0,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12,13.089558016,-1.089558016,-0.529907606
F,1,0,1,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11,9.6705635798,1.3294364202,0.6432583015
F,1,0,1,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7,12.019026198,-5.019026198,-2.430365163
M,1,1,0,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,10.304551336,-0.304551336,-0.1470441
I,0,0,0,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,7.6676066358,3.3323933642,1.6101906356
M,1,1,0,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,11.537877022,-2.537877022,-1.228410553
F,1,0,1,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10,9.598047304,0.401952696,0.1952594105
F,1,0,1,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9,9.5656168598,-0.56561686,-0.273445957
M,1,1,0,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,8.5146719849,-2.514671985,-1.215704763
F,1,0,1,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,13.303015943,-1.303015943,-0.629778623
M,1,1,0,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11,11.856116131,-0.856116131,-0.425268017
M,1,1,0,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,12.961887986,0.0381120141,0.0184105273
F,1,0,1,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14,13.801094094,0.1989059057,0.0961475712
F,1,0,1,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,10.844762149,0.1552378506,0.0751285259
M,1,1,0,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,12.257556857,1.7424431429,0.8485104871
M,1,1,0,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12,12.428430008,-0.428430008,-0.207111941
M,1,1,0,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,9.4393422138,-1.439342214,-0.696555363
M,1,1,0,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,13.905713232,-0.905713232,-0.439537791
M,1,1,0,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,9.5679169086,-1.567916909,-0.757238404
F,1,0,1,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,10.193804043,2.8061959575,1.3547289837
M,1,1,0,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10,13.574270696,-3.574270696,-1.732751064
M,1,1,0,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11,12.653421504,-1.653421504,-0.802735008
F,1,0,1,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,13.719083397,3.2809166029,1.5858177695
F,1,0,1,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,12.2530521,0.7469478998,0.3666751843
I,0,0,0,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,13.152227768,0.8477722316,0.4156994262
F,1,0,1,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,13.182817883,-0.182817883,-0.089796692
F,1,0,1,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,10.402277955,3.5977220451,1.7388450115
F,1,0,1,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15,13.945006728,1.0549932717,0.5112320689
F,1,0,1,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13,11.993632061,1.0063679394,0.48701294
M,1,1,0,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,10.258746424,1.7412535761,0.8412462089
F,1,0,1,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18,10.931233349,7.0687666513,3.413834855
F,1,0,1,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,10.70232533,3.2976746698,1.5955093404
M,1,1,0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,15.018809629,-0.018809629,-0.009179278
F,1,0,1,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,12.66446207,0.3355379302,0.163187563
M,1,1,0,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15,15.859318998,-0.859318998,-0.422550996
M,1,1,0,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20,14.396527986,5.6034720143,2.7206313193
F,1,0,1,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14,13.664210144,0.3357898558,0.1636566664
F,1,0,1,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,14.165155511,4.8348444891,2.3377668013
M,1,1,0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9,7.9642530887,1.0357469113,0.5004696648
M,1,1,0,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10,9.2626926397,0.7373073603,0.3565481041
M,1,1,0,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,9.1494243937,-0.149424394,-0.072439736
I,0,0,0,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,9.3590164947,-1.359016495,-0.66026847
F,1,0,1,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10,9.2921840809,0.7078159191,0.3420847932
I,0,0,0,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7,7.8019205432,-0.801920543,-0.387677089
I,0,0,0,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9,7.547460121,1.452539879,0.7011915757
I,0,0,0,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9,7.2795917012,1.7204082988,0.831094917
F,1,0,1,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9,9.7183479053,-0.718347905,-0.347110076
F,1,0,1,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,9.1236982648,-2.123698265,-1.028009265
I,0,0,0,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6,7.1830843767,-1.183084377,-0.571759151
F,1,0,1,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10,10.550589653,-0.550589653,-0.266023549
I,0,0,0,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,7.1906190183,-1.190619018,-0.576398961
M,1,1,0,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,9.6351195772,0.3648804228,0.176242314
F,1,0,1,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,8.1450600707,0.8549399293,0.4146288122
I,0,0,0,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,6.6999973412,-0.699997341,-0.33824174
M,1,1,0,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12,9.2770726471,2.7229273529,1.31738604
F,1,0,1,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,11.590157641,-1.590157641,-0.768764744
F,1,0,1,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13,11.383309454,1.6166905461,0.7824578347
M,1,1,0,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8,8.8164886084,-0.816488608,-0.394412573
I,0,0,0,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,8.1149869008,-1.114986901,-0.538356393
I,0,0,0,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,8.5677225266,-0.567722527,-0.274053395
F,1,0,1,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10,10.316536313,-0.316536313,-0.153275706
F,1,0,1,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10,9.5866991611,0.4133008389,0.1999168294
M,1,1,0,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,10.090520802,-1.090520802,-0.527171423
F,1,0,1,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11,10.284152034,0.7158479658,0.3471861359
M,1,1,0,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11,10.722127049,0.277872951,0.1346316954
F,1,0,1,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23,11.40121205,11.59878795,5.605671006
F,1,0,1,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,11.645348529,0.3546514714,0.1715798973
F,1,0,1,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16,11.96499016,4.0350098402,1.9527606969
M,1,1,0,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,10.50190082,0.4980991804,0.2406494843
M,1,1,0,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13,10.821113578,2.1788864218,1.0544505838
F,1,0,1,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13,10.057598994,2.9424010058,1.4233285044
M,1,1,0,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,7.8528249479,-0.852824948,-0.413083771
I,0,0,0,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,6.1350962232,1.8649037768,0.900828297
M,1,1,0,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,12.936868801,3.0631311988,1.484718364
F,1,0,1,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,11.218718985,2.7812810149,1.3478122255
M,1,1,0,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,12.656796221,4.3432037791,2.1009495833
M,1,1,0,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,12.270259968,0.729740032,0.3529765902
M,1,1,0,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,13.972440902,-0.972440902,-0.470533091
F,1,0,1,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,10.927193613,1.0728063867,0.5182578667
F,1,0,1,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15,10.654645771,4.3453542293,2.0982706194
I,0,0,0,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,7.8177822505,2.1822177495,1.0535293011
M,1,1,0,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,11.763864951,2.2361350491,1.0816676899
M,1,1,0,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,10.318856486,1.6811435141,0.8130094457
I,0,0,0,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,8.3247776556,-0.324777656,-0.157059588
F,1,0,1,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17,14.013492414,2.9865075857,1.4447746091
F,1,0,1,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10,10.030786539,-0.030786539,-0.014918
M,1,1,0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,10.817125991,0.1828740095,0.0885147948
M,1,1,0,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13,9.9841149469,3.0158850531,1.462647229
F,1,0,1,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,10.737175078,4.2628249219,2.0603315435
I,0,0,0,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,11.047917194,3.9520828058,1.9268562441
I,0,0,0,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9,8.0484275971,0.9515724029,0.4601276754
M,1,1,0,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15,14.17220099,0.8277990105,0.4012216335
F,1,0,1,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9,10.216398468,-1.216398468,-0.588386311
M,1,1,0,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13,13.879393788,-0.879393788,-0.429075953
F,1,0,1,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23,13.901340085,9.098659915,4.7575975427
M,1,1,0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,13.193747072,9.8062529283,4.7451031991
F,1,0,1,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18,11.861474308,6.1385256919,2.9763564932
M,1,1,0,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,10.209813004,0.7901869958,0.3821038191
M,1,1,0,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17,13.487985743,3.5120142575,1.7087476292
M,1,1,0,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17,13.409267914,3.5907320855,1.7368126059
F,1,0,1,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,11.78021089,-0.78021089,-0.377659907
I,0,0,0,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7,6.5929784427,0.4070215573,0.1966991289
I,0,0,0,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6,5.5278208471,0.4721791529,0.2282219298
I,0,0,0,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6,4.011356361,1.988643639,0.9670667351
M,1,1,0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21,13.299986761,7.7000132394,3.7435201672
F,1,0,1,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,14.669666796,2.3303332045,1.1302805779
F,1,0,1,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,11.447165483,1.5528345172,0.7506480178
M,1,1,0,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,10.718565017,0.2814349835,0.135957152
M,1,1,0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16,10.729686652,5.2703133485,2.5478400208
F,1,0,1,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9,9.6475465164,-0.647546516,-0.313206877
F,1,0,1,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12,11.066971181,0.9330288189,0.455459928
M,1,1,0,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19,11.866847408,7.1331525915,3.4503304314
M,1,1,0,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18,13.075774462,4.9242255377,2.4016878452
F,1,0,1,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,14.01332626,2.9866737401,1.4550106068
