Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Square Root[Rings],Predicted Square Root[Rings],Residual Square Root[Rings],Studentized Resid Square Root[Rings]
M,1,1,0,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11,3.3166247904,3.0233672931,0.2932574973,0.9767484632
F,1,0,1,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,11,3.3166247904,3.2906709072,0.0259538831,0.0863741197
F,1,0,1,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,12,3.4641016151,3.3687501347,0.0953514804,0.3161662376
M,1,1,0,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,3.1622776602,3.4573380065,-0.295060346,-0.982605493
F,1,0,1,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15,3.8729833462,3.5954927488,0.2774905974,0.9379624026
F,1,0,1,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11,3.3166247904,3.2758447272,0.0407800631,0.1421676689
M,1,1,0,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11,3.3166247904,3.364794873,-0.048170083,-0.160462248
F,1,0,1,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12,3.4641016151,3.3768697227,0.0872318924,0.293422467
F,1,0,1,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10,3.1622776602,3.230179655,-0.067901995,-0.227922531
M,1,1,0,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11,3.3166247904,3.4531439902,-0.1365192,-0.454970305
M,1,1,0,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10,3.1622776602,3.3564064333,-0.194128773,-0.645447837
M,1,1,0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13,3.6055512755,3.4309497014,0.174601574,0.587792295
F,1,0,1,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7,2.6457513111,3.2309913331,-0.585240022,-1.951921468
F,1,0,1,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14,3.7416573868,3.3041317937,0.437525593,1.4628552634
F,1,0,1,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11,3.3166247904,3.4937624737,-0.177137683,-0.599975468
M,1,1,0,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11,3.3166247904,3.4950000056,-0.178375215,-0.594993098
F,1,0,1,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12,3.4641016151,3.2998685768,0.1642330384,0.5516229826
F,1,0,1,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11,3.3166247904,3.4572062858,-0.140581495,-0.471976313
M,1,1,0,0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12,3.4641016151,3.551813517,-0.087711902,-0.294895143
M,1,1,0,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12,3.4641016151,3.6195566525,-0.155455037,-0.541930976
M,1,1,0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12,3.4641016151,3.7662736278,-0.302172013,-1.216306099
I,0,0,0,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5,2.2360679775,2.4450910981,-0.209023121,-0.700485482
I,0,0,0,0.375,0.245,0.1,0.394,0.166,0.091,0.1125,6,2.4494897428,2.7007612725,-0.25127153,-0.837793152
F,1,0,1,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7,2.6457513111,2.8355469512,-0.18979564,-0.639779556
M,1,1,0,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7,2.6457513111,2.63659885,0.0091524611,0.0307035801
I,0,0,0,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8,2.8284271247,2.9216047998,-0.093177675,-0.310128939
M,1,1,0,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7,2.6457513111,2.896701717,-0.250950406,-0.832582512
I,0,0,0,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6,2.4494897428,2.6047871645,-0.155297422,-0.514580874
I,0,0,0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8,2.8284271247,2.9882219278,-0.159794803,-0.534257951
I,0,0,0,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8,2.8284271247,2.7722797721,0.0561473526,0.1858278253
I,0,0,0,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,10,3.1622776602,3.0195387445,0.1427389157,0.4769082945
M,1,1,0,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7,2.6457513111,2.7513326912,-0.10558138,-0.350098412
I,0,0,0,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8,2.8284271247,3.0107621717,-0.182335047,-0.604796941
M,1,1,0,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9,3,3.1058841571,-0.105884157,-0.352981745
I,0,0,0,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9,3,3.6354142144,-0.635414214,-2.149578026
F,1,0,1,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8,2.8284271247,3.3465230619,-0.518095937,-1.730756385
M,1,1,0,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,9,3,3.0936042914,-0.093604291,-0.311814042
M,1,1,0,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9,3,3.120252445,-0.120252445,-0.403311913
M,1,1,0,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8,2.8284271247,3.0221769433,-0.193749819,-0.643818787
M,1,1,0,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10,3.1622776602,3.117729771,0.0445478892,0.1493268797
M,1,1,0,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7,2.6457513111,2.9353328419,-0.289581531,-0.960470473
M,1,1,0,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8,2.8284271247,3.0689204777,-0.240493353,-0.795946772
F,1,0,1,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8,2.8284271247,2.9550790317,-0.126651907,-0.419677743
I,0,0,0,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8,2.8284271247,3.3784438026,-0.550016678,-1.8544981
I,0,0,0,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8,2.8284271247,3.1466141375,-0.318187013,-1.059490081
F,1,0,1,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10,3.1622776602,3.4062804141,-0.244002754,-0.820467376
F,1,0,1,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9,3,2.9484331023,0.0515668977,0.1723562265
F,1,0,1,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10,3.1622776602,3.085631715,0.0766459451,0.258728914
M,1,1,0,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10,3.1622776602,3.1176185673,0.0446590928,0.1488398291
M,1,1,0,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9,3,3.2011646132,-0.201164613,-0.66641904
M,1,1,0,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10,3.1622776602,3.0323588974,0.1299187628,0.4313282251
I,0,0,0,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10,3.1622776602,2.9389705292,0.223307131,0.7414165178
F,1,0,1,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10,3.1622776602,3.261384205,-0.099106545,-0.331517637
M,1,1,0,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10,3.1622776602,3.1785782184,-0.016300558,-0.054069102
I,0,0,0,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8,2.8284271247,3.143049414,-0.314622289,-1.042655952
M,1,1,0,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11,3.3166247904,3.1776377967,0.1389869936,0.4608789022
M,1,1,0,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9,3,3.0743955076,-0.074395508,-0.246414857
M,1,1,0,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9,3,3.2660145268,-0.266014527,-0.881029742
M,1,1,0,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10,3.1622776602,3.0809640375,0.0813136227,0.2692827623
F,1,0,1,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11,3.3166247904,3.1394074493,0.1772173411,0.5867498965
F,1,0,1,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10,3.1622776602,3.1815453177,-0.019267658,-0.063903666
M,1,1,0,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10,3.1622776602,3.0035503628,0.1587272973,0.5263142702
M,1,1,0,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,9,3,3.1808091204,-0.18080912,-0.598671751
M,1,1,0,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11,3.3166247904,3.2996758833,0.016948907,0.0561321308
M,1,1,0,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11,3.3166247904,3.4706497895,-0.154024999,-0.51260512
F,1,0,1,0.635,0.475,0.15,1.1845,0.533,0.307,0.291,10,3.1622776602,3.1049982172,0.057279443,0.1901584936
F,1,0,1,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8,2.8284271247,3.1394610147,-0.31103389,-1.033470648
M,1,1,0,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9,3,3.0688269964,-0.068826996,-0.228173183
M,1,1,0,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11,3.3166247904,3.2270000107,0.0896247797,0.2973376331
M,1,1,0,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,10,3.1622776602,3.8271401129,-0.664862453,-2.469349725
F,1,0,1,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9,3,3.3739204749,-0.373920475,-1.241653062
M,1,1,0,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10,3.1622776602,3.3033023642,-0.141024704,-0.468365028
F,1,0,1,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11,3.3166247904,3.4380106181,-0.121385828,-0.402465254
F,1,0,1,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10,3.1622776602,3.2140032397,-0.05172558,-0.171355879
F,1,0,1,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9,3,3.2827529452,-0.282752945,-0.937253112
F,1,0,1,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10,3.1622776602,3.2129829124,-0.050705252,-0.168447808
M,1,1,0,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11,3.3166247904,3.3264702557,-0.009845465,-0.032725104
F,1,0,1,0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645,13,3.6055512755,3.4711619714,0.1343893041,0.4461470021
F,1,0,1,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9,3,3.291365811,-0.291365811,-0.978258436
M,1,1,0,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11,3.3166247904,3.3072342354,0.009390555,0.0311871079
M,1,1,0,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11,3.3166247904,3.5794030798,-0.262778289,-0.879252067
I,0,0,0,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5,2.2360679775,1.9937163741,0.2423516034,0.8055215259
I,0,0,0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4,2,2.2227088822,-0.222708882,-0.737998933
I,0,0,0,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7,2.6457513111,2.4033907004,0.2423606107,0.8031886516
I,0,0,0,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6,2.4494897428,2.5814350491,-0.131945306,-0.436842914
I,0,0,0,0.35,0.265,0.08,0.2,0.09,0.042,0.06,7,2.6457513111,2.5468129581,0.0989383529,0.3275181856
I,0,0,0,0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,6,2.4494897428,2.6115452775,-0.162055535,-0.536634958
I,0,0,0,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7,2.6457513111,2.6240566492,0.0216946619,0.0718337852
I,0,0,0,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6,2.4494897428,2.5714525244,-0.121962782,-0.403967548
I,0,0,0,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8,2.8284271247,2.7226238926,0.1058032321,0.3504125835
I,0,0,0,0.405,0.3,0.09,0.269,0.103,0.067,0.11,6,2.4494897428,2.7654663292,-0.315976586,-1.047262062
I,0,0,0,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7,2.6457513111,2.8083460649,-0.162594754,-0.539297095
I,0,0,0,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7,2.6457513111,2.8107517155,-0.165000404,-0.5467708
I,0,0,0,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6,2.4494897428,2.6489934902,-0.199503747,-0.6605549
I,0,0,0,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6,2.4494897428,2.7608236506,-0.311333908,-1.030684357
I,0,0,0,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8,2.8284271247,2.8475235444,-0.01909642,-0.063249571
I,0,0,0,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11,3.3166247904,2.7755130463,0.5411117441,1.7918158305
I,0,0,0,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8,2.8284271247,2.8281782773,0.0002488474,0.0008243049
I,0,0,0,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7,2.6457513111,2.7386597181,-0.092908407,-0.307672164
I,0,0,0,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7,2.6457513111,2.8386829,-0.192931589,-0.638746669
I,0,0,0,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8,2.8284271247,2.7461402548,0.0822868699,0.2725042027
I,0,0,0,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,7,2.6457513111,2.9097248051,-0.263973494,-0.875253932
I,0,0,0,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8,2.8284271247,2.8272570232,0.0011701016,0.0038746025
I,0,0,0,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7,2.6457513111,3.0191198438,-0.373368533,-1.237831486
I,0,0,0,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8,2.8284271247,2.9639345954,-0.135507471,-0.449201602
I,0,0,0,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9,3,2.8340304799,0.1659695201,0.5506374831
I,0,0,0,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7,2.6457513111,2.9079761632,-0.262224852,-0.874185451
I,0,0,0,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8,2.8284271247,2.8411223885,-0.012695264,-0.042033197
I,0,0,0,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,9,3,2.9093985022,0.0906014978,0.2999953647
I,0,0,0,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8,2.8284271247,3.0184820429,-0.190054918,-0.629516039
I,0,0,0,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8,2.8284271247,2.9559871457,-0.127560021,-0.42438579
I,0,0,0,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8,2.8284271247,3.1757749571,-0.347347832,-1.153027849
I,0,0,0,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9,3,2.7882745051,0.2117254949,0.701554812
I,0,0,0,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11,3.3166247904,3.2283131754,0.0883116149,0.2931234993
I,0,0,0,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8,2.8284271247,3.0918571238,-0.263429999,-0.873115636
F,1,0,1,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10,3.1622776602,3.0125378061,0.149739854,0.4971502952
I,0,0,0,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10,3.1622776602,3.2543852205,-0.09210756,-0.305520831
I,0,0,0,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10,3.1622776602,3.3369155373,-0.174637877,-0.580100974
M,1,1,0,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8,2.8284271247,2.9314265215,-0.102999397,-0.341980023
I,0,0,0,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8,2.8284271247,2.9357754469,-0.107348322,-0.356905878
I,0,0,0,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9,3,2.936424152,0.063575848,0.2108325238
I,0,0,0,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,9,3,2.9189168454,0.0810831546,0.2687256289
I,0,0,0,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7,2.6457513111,2.7389371396,-0.093185829,-0.310144443
I,0,0,0,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,10,3.1622776602,2.7939930726,0.3682845875,1.2238258597
I,0,0,0,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9,3,2.8700222294,0.1299777706,0.4309246857
I,0,0,0,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8,2.8284271247,3.113546005,-0.28511888,-0.944043869
I,0,0,0,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,9,3,3.0263250047,-0.026325005,-0.087366619
I,0,0,0,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8,2.8284271247,3.2041232273,-0.375696103,-1.252549438
I,0,0,0,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9,3,3.2695797151,-0.269579715,-0.897178624
I,0,0,0,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9,3,2.97999791,0.02000209,0.0662973461
I,0,0,0,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9,3,2.9482967751,0.0517032249,0.1713096909
I,0,0,0,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9,3,3.138836893,-0.138836893,-0.467326071
F,1,0,1,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9,3,3.491692525,-0.491692525,-1.628130915
I,0,0,0,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9,3,3.0162436008,-0.016243601,-0.053881032
I,0,0,0,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8,2.8284271247,2.9595123613,-0.131085237,-0.435610059
I,0,0,0,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10,3.1622776602,3.2555219515,-0.093244291,-0.311037971
I,0,0,0,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9,3,3.2515718816,-0.251571882,-0.835037952
I,0,0,0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,10,3.1622776602,3.2904907126,-0.128213052,-0.425772841
I,0,0,0,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6,2.4494897428,3.1972549139,-0.747765171,-2.49402803
M,1,1,0,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8,2.8284271247,3.0963997327,-0.267972608,-0.887229194
M,1,1,0,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8,2.8284271247,3.1750869738,-0.346659849,-1.152123113
M,1,1,0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7,2.6457513111,2.9731897011,-0.32743839,-1.086705711
I,0,0,0,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9,3,3.2262671028,-0.226267103,-0.755467644
M,1,1,0,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9,3,3.1201664673,-0.120166467,-0.398240053
I,0,0,0,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9,3,3.3441683563,-0.344168356,-1.142858047
F,1,0,1,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11,3.3166247904,3.3629499116,-0.046325121,-0.153720987
M,1,1,0,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7,2.6457513111,3.0094587922,-0.363707481,-1.207833398
M,1,1,0,0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11,3.3166247904,3.2275798052,0.0890449851,0.2948259182
I,0,0,0,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9,3,3.1608934258,-0.160893426,-0.533532145
M,1,1,0,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9,3,3.1369041506,-0.136904151,-0.453253421
I,0,0,0,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10,3.1622776602,3.2020538058,-0.039776146,-0.132240895
M,1,1,0,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11,3.3166247904,3.1952287237,0.1213960667,0.4019095717
M,1,1,0,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11,3.3166247904,3.2973152813,0.0193095091,0.0639599827
M,1,1,0,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9,3,3.3745281535,-0.374528154,-1.240906141
M,1,1,0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13,3.6055512755,3.0042446774,0.601306598,1.9952328753
F,1,0,1,0.57,0.44,0.12,0.803,0.382,0.1525,0.234,9,3,3.0722822742,-0.072282274,-0.239943678
M,1,1,0,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9,3,3.1821841038,-0.182184104,-0.604159599
M,1,1,0,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9,3,2.9627920766,0.0372079234,0.1232200061
M,1,1,0,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,10,3.1622776602,3.1416916509,0.0205860092,0.0682182681
M,1,1,0,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11,3.3166247904,3.2154821753,0.1011426151,0.3347616236
M,1,1,0,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10,3.1622776602,3.3102704045,-0.147992744,-0.490131178
F,1,0,1,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,9,3,3.4446456252,-0.444645625,-1.474305655
I,0,0,0,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10,3.1622776602,3.0053734678,0.1569041923,0.5216504125
I,0,0,0,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11,3.3166247904,3.1010175822,0.2156072081,0.7168598274
F,1,0,1,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9,3,3.1217707766,-0.121770777,-0.403722146
M,1,1,0,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9,3,3.2646794728,-0.264679473,-0.877906102
F,1,0,1,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9,3,3.0828685434,-0.082868543,-0.276594875
F,1,0,1,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10,3.1622776602,3.4529035582,-0.290625898,-0.968741781
M,1,1,0,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10,3.1622776602,3.0683685953,0.0939090648,0.3110346099
I,0,0,0,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10,3.1622776602,3.0939053355,0.0683723247,0.2265941207
M,1,1,0,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,3,3.2779560739,-0.277956074,-0.92118457
M,1,1,0,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10,3.1622776602,2.9817987398,0.1804789203,0.5979803737
F,1,0,1,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11,3.3166247904,3.0824329937,0.2341917966,0.7764322844
M,1,1,0,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11,3.3166247904,3.4154124724,-0.098787682,-0.328498659
M,1,1,0,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10,3.1622776602,3.4337937121,-0.271516052,-0.899224399
F,1,0,1,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11,3.3166247904,3.3198685804,-0.00324379,-0.010743232
I,0,0,0,0.605,0.49,0.165,1.071,0.482,0.1935,0.352,10,3.1622776602,3.4535575017,-0.291279841,-0.973213466
F,1,0,1,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9,3,3.3593751057,-0.359375106,-1.193564389
M,1,1,0,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10,3.1622776602,3.3293204071,-0.167042747,-0.553087882
M,1,1,0,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8,2.8284271247,3.1667843548,-0.33835723,-1.122125817
F,1,0,1,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10,3.1622776602,3.2143320318,-0.052054372,-0.172715371
F,1,0,1,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8,2.8284271247,3.1815703392,-0.353143214,-1.170406432
F,1,0,1,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,11,3.3166247904,3.0829904054,0.233634385,0.7738751791
M,1,1,0,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11,3.3166247904,3.1296229005,0.1870018899,0.6208784356
M,1,1,0,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9,3,3.0554613036,-0.055461304,-0.183844545
F,1,0,1,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12,3.4641016151,3.1874308299,0.2766707852,0.9175394716
M,1,1,0,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10,3.1622776602,3.4271984807,-0.264920821,-0.880793737
M,1,1,0,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11,3.3166247904,3.2142274905,0.1023972999,0.339286569
M,1,1,0,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9,3,3.4558672104,-0.45586721,-1.512378985
F,1,0,1,0.62,0.495,0.17,1.062,0.372,0.213,0.34,11,3.3166247904,3.703148848,-0.386524058,-1.282677757
M,1,1,0,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15,3.8729833462,3.7923985269,0.0805848194,0.2684568582
M,1,1,0,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,9,3,3.1435340466,-0.143534047,-0.495746504
M,1,1,0,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12,3.4641016151,3.3569018642,0.1071997509,0.355221747
M,1,1,0,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,3.3166247904,3.2126532642,0.1039715262,0.3445837622
M,1,1,0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9,3,3.3565967752,-0.356596775,-1.181780147
M,1,1,0,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10,3.1622776602,3.3354773745,-0.173199714,-0.574008025
F,1,0,1,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11,3.3166247904,3.1589201337,0.1577046567,0.5262342735
F,1,0,1,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,11,3.3166247904,3.7320030112,-0.415378221,-1.3851564
F,1,0,1,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11,3.3166247904,3.049998017,0.2666267734,0.8848534993
M,1,1,0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9,3,3.0558021081,-0.055802108,-0.184976921
F,1,0,1,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11,3.3166247904,3.2248301133,0.091794677,0.3039910316
F,1,0,1,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11,3.3166247904,3.6407895079,-0.324164718,-1.075125935
F,1,0,1,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11,3.3166247904,3.2024224973,0.114202293,0.3785020509
M,1,1,0,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12,3.4641016151,3.2359027598,0.2281988553,0.7570051372
M,1,1,0,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12,3.4641016151,3.2396455032,0.2244561119,0.7462504418
M,1,1,0,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10,3.1622776602,3.3615262266,-0.199248566,-0.660531574
M,1,1,0,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11,3.3166247904,3.3477327134,-0.031107923,-0.103551645
F,1,0,1,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10,3.1622776602,3.187478202,-0.025200542,-0.083706581
