Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings]
M,1,1,0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5,1.6094379124,2.0956303521,-0.48619244,-2.636761332
F,1,0,1,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,2.1972245773,2.4706580974,-0.27343352,-1.488497851
I,0,0,0,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6,1.7917594692,1.9420408621,-0.150281393,-0.812251624
F,1,0,1,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5,1.6094379124,2.0641852498,-0.454747337,-2.468954541
M,1,1,0,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6,1.7917594692,1.9718098263,-0.180050357,-0.976713461
I,0,0,0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4,1.3862943611,1.2016662761,0.184628085,1.013246247
M,1,1,0,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,1.9459101491,1.8602778171,0.085632332,0.4645883578
I,0,0,0,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6,1.7917594692,1.3305838344,0.4611756348,2.5134572388
I,0,0,0,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,1.6094379124,1.4160418144,0.193396098,1.0526344994
M,1,1,0,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,2.302585093,2.2738027275,0.0287823655,0.1562281038
F,1,0,1,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13,2.5649493575,2.4240435042,0.1409058532,0.7618603194
M,1,1,0,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12,2.4849066498,2.5979765864,-0.113069937,-0.613008798
F,1,0,1,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20,2.9957322736,2.6339422048,0.3617900687,1.9621534959
F,1,0,1,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,2.6390573296,2.9561033112,-0.317045982,-1.761909714
F,1,0,1,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15,2.7080502011,2.5841484298,0.1239017713,0.6724701199
F,1,0,1,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14,2.6390573296,2.7432922415,-0.104234912,-0.575439938
F,1,0,1,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21,3.0445224377,2.6796756364,0.3648468013,2.1020418864
M,1,1,0,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,2.7725887222,2.516968218,0.2556205042,1.3838214322
M,1,1,0,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13,2.5649493575,2.6915259518,-0.126576594,-0.68544976
M,1,1,0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6,1.7917594692,2.8514458982,-1.059686429,-5.783370077
I,0,0,0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6,1.7917594692,1.8155857759,-0.023826307,-0.128767226
M,1,1,0,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,2.1972245773,2.2008577748,-0.003633197,-0.019637248
F,1,0,1,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9,2.1972245773,2.2605588839,-0.063334307,-0.342410579
M,1,1,0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14,2.6390573296,2.593917848,0.0451394816,0.2444536974
M,1,1,0,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12,2.4849066498,2.3015854974,0.1833211524,0.991012143
F,1,0,1,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,2.302585093,2.334743807,-0.032158714,-0.173973001
M,1,1,0,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11,2.3978952728,2.5894202559,-0.191524983,-1.036703004
M,1,1,0,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,2.7080502011,2.7424885435,-0.034438342,-0.187161743
F,1,0,1,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,2.6390573296,2.4458147012,0.1932426284,1.0473204577
I,0,0,0,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6,1.7917594692,1.5583216578,0.2334378114,1.2651818099
I,0,0,0,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13,2.5649493575,2.1154577871,0.4494915704,2.4299685978
I,0,0,0,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5,1.6094379124,1.7978013671,-0.188363455,-1.022040243
I,0,0,0,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11,2.3978952728,1.9526050603,0.4452902125,2.4062704376
I,0,0,0,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,2.302585093,2.0687182753,0.2338668177,1.264081534
I,0,0,0,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6,1.7917594692,1.7387541518,0.0530053174,0.2871002751
F,1,0,1,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21,3.0445224377,2.7490097213,0.2955127164,1.6261077535
F,1,0,1,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,2.5649493575,2.5807324271,-0.01578307,-0.085564295
F,1,0,1,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25,3.2188758249,2.9559572817,0.2629185432,1.4642352644
M,1,1,0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19,2.9444389792,2.4759541948,0.4684847844,2.5448677488
M,1,1,0,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18,2.8903717579,2.6783384099,0.212033348,1.1501510974
M,1,1,0,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7,1.9459101491,2.2098452151,-0.263935066,-1.4291088
I,0,0,0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6,1.7917594692,1.7817560017,0.0100034676,0.0541602021
F,1,0,1,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5,1.6094379124,1.9416666408,-0.332228728,-1.816502347
M,1,1,0,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8,2.0794415417,2.2253817353,-0.145940194,-0.789421422
F,1,0,1,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16,2.7725887222,2.9695457034,-0.196956981,-1.100454713
F,1,0,1,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27,3.295836866,3.0996689246,0.1961679414,1.0898415742
M,1,1,0,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18,2.8903717579,3.0541436046,-0.163771847,-0.908353291
M,1,1,0,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17,2.8332133441,2.7083335777,0.1248797663,0.6803438671
F,1,0,1,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13,2.5649493575,2.7980963001,-0.233146943,-1.303533974
M,1,1,0,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17,2.8332133441,2.8283939963,0.0048193478,0.0264476576
F,1,0,1,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8,2.0794415417,2.3172310671,-0.237789525,-1.287218586
F,1,0,1,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10,2.302585093,2.419854484,-0.117269391,-0.634817797
I,0,0,0,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7,1.9459101491,1.8936972278,0.0522129212,0.2823202257
F,1,0,1,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,2.5649493575,2.4721112342,0.0928381233,0.5026320171
M,1,1,0,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14,2.6390573296,2.4582225316,0.180834798,0.9783710673
F,1,0,1,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13,2.5649493575,2.3579080126,0.2070413449,1.119734098
F,1,0,1,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8,2.0794415417,2.2978800501,-0.218438508,-1.187955264
M,1,1,0,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17,2.8332133441,2.6188730922,0.2143402519,1.1608298104
F,1,0,1,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,2.5649493575,2.8356771185,-0.270727761,-1.479895199
F,1,0,1,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14,2.6390573296,2.7972362985,-0.158178969,-0.859197676
F,1,0,1,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,2.1972245773,2.4867350651,-0.289510488,-1.565626272
M,1,1,0,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13,2.5649493575,2.3882893205,0.176660037,0.9560397059
I,0,0,0,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7,1.9459101491,2.0442518912,-0.098341742,-0.532323512
I,0,0,0,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7,1.9459101491,1.737951613,0.207958536,1.1247282621
F,1,0,1,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12,2.4849066498,2.4345398155,0.0503668343,0.2728251676
M,1,1,0,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7,1.9459101491,2.1356629188,-0.18975277,-1.026575849
M,1,1,0,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,2.5649493575,2.5216999713,0.0432493862,0.2341168833
F,1,0,1,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9,2.1972245773,2.5104902222,-0.313265645,-1.695021471
F,1,0,1,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,2.1972245773,2.4762492646,-0.279024687,-1.509470742
M,1,1,0,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17,2.8332133441,2.551890479,0.2813228651,1.5205322126
F,1,0,1,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14,2.6390573296,2.5380950198,0.1009623098,0.5458830801
M,1,1,0,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13,2.5649493575,2.7304014897,-0.165452132,-0.896060875
F,1,0,1,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15,2.7080502011,2.5315352484,0.1765149527,0.9558037652
M,1,1,0,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,2.8332133441,2.7743607985,0.0588525455,0.3190903333
I,0,0,0,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8,2.0794415417,1.9883839209,0.0910576207,0.4929770386
F,1,0,1,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8,2.0794415417,2.2441723324,-0.164730791,-0.891063777
M,1,1,0,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12,2.4849066498,2.5336196412,-0.048712991,-0.265178744
F,1,0,1,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11,2.3978952728,2.2376182405,0.1602770323,0.8680270071
F,1,0,1,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7,1.9459101491,2.4482416206,-0.502331472,-2.722617141
M,1,1,0,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,2.302585093,2.30459622,-0.002011127,-0.010868527
I,0,0,0,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,2.3978952728,2.0003596324,0.3975356404,2.1500136836
M,1,1,0,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,2.1972245773,2.4231617673,-0.22593719,-1.224065918
F,1,0,1,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10,2.302585093,2.2377704847,0.0648146083,0.3524147251
F,1,0,1,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9,2.1972245773,2.2419209201,-0.044696343,-0.241860679
M,1,1,0,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,1.7917594692,2.1025024198,-0.310742951,-1.681481826
F,1,0,1,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,2.4849066498,2.5694139454,-0.084507296,-0.457168719
M,1,1,0,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11,2.3978952728,2.4209328281,-0.023037555,-0.128088621
M,1,1,0,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,2.5649493575,2.5355469352,0.0294024223,0.1589759968
F,1,0,1,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14,2.6390573296,2.6033700778,0.0356872518,0.1930847008
F,1,0,1,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,2.3978952728,2.361888008,0.0360072648,0.1950479982
M,1,1,0,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,2.6390573296,2.4737323431,0.1653249865,0.9011170611
M,1,1,0,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12,2.4849066498,2.4937657722,-0.008859122,-0.047935811
M,1,1,0,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,2.0794415417,2.2339700174,-0.154528476,-0.837036153
M,1,1,0,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,2.5649493575,2.6112243554,-0.046274998,-0.251359923
M,1,1,0,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,2.0794415417,2.2357769055,-0.156335364,-0.845105511
F,1,0,1,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,2.5649493575,2.3062381813,0.2587111762,1.3979567515
M,1,1,0,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10,2.302585093,2.5857683741,-0.283183281,-1.536598698
M,1,1,0,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11,2.3978952728,2.4936504847,-0.095755212,-0.520349523
F,1,0,1,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,2.8332133441,2.5913319793,0.2418813648,1.308593072
F,1,0,1,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,2.5649493575,2.4636003797,0.1013489778,0.5568711243
I,0,0,0,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,2.6390573296,2.5639414235,0.0751159061,0.41226481
F,1,0,1,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,2.5649493575,2.5325638506,0.0323855069,0.1780477462
F,1,0,1,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,2.6390573296,2.3320048923,0.3070524373,1.6610776437
F,1,0,1,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15,2.7080502011,2.6161862444,0.0918639567,0.4982618817
F,1,0,1,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13,2.5649493575,2.4678079125,0.0971414449,0.5261776351
M,1,1,0,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,2.4849066498,2.3123883866,0.1725182632,0.9329111713
F,1,0,1,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18,2.8903717579,2.3714813917,0.5188903662,2.8049077873
F,1,0,1,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,2.6390573296,2.3572799367,0.2817773929,1.5259552824
M,1,1,0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,2.7080502011,2.6919766518,0.0160735493,0.0877979133
F,1,0,1,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,2.5649493575,2.5202757406,0.0446736169,0.2431871756
M,1,1,0,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15,2.7080502011,2.7247079273,-0.016657726,-0.0916821
M,1,1,0,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20,2.9957322736,2.6320300241,0.3637022494,1.9765262694
F,1,0,1,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14,2.6390573296,2.5711570313,0.0679002983,0.3704093398
F,1,0,1,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,2.9444389792,2.6341917733,0.3102472059,1.6790772363
M,1,1,0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9,2.1972245773,2.0989915392,0.0982330382,0.5312828605
M,1,1,0,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10,2.302585093,2.2280208721,0.0745642209,0.4035935006
M,1,1,0,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,2.1972245773,2.2147952906,-0.017570713,-0.095343011
I,0,0,0,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,2.0794415417,2.2215348511,-0.142093309,-0.772704743
F,1,0,1,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10,2.302585093,2.2163857266,0.0861993664,0.46629594
I,0,0,0,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7,1.9459101491,2.0539835593,-0.10807341,-0.584792467
I,0,0,0,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9,2.1972245773,2.0077273875,0.1894971899,1.0238952231
I,0,0,0,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9,2.1972245773,1.9922007481,0.2050238292,1.1085813183
F,1,0,1,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9,2.1972245773,2.2627139275,-0.06548935,-0.354198885
F,1,0,1,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,1.9459101491,2.1716147399,-0.225704591,-1.222893755
I,0,0,0,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6,1.7917594692,1.9315847207,-0.139825252,-0.756357525
F,1,0,1,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10,2.302585093,2.3406160278,-0.038030935,-0.205671046
I,0,0,0,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,1.7917594692,1.9480265602,-0.156267091,-0.846763285
M,1,1,0,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,2.302585093,2.2490000672,0.0535850258,0.2896991264
F,1,0,1,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,2.1972245773,2.0704031616,0.1268214158,0.6884312744
I,0,0,0,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,1.7917594692,1.8937039138,-0.101944445,-0.551364107
M,1,1,0,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12,2.4849066498,2.2277028616,0.2572037882,1.3928311816
F,1,0,1,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,2.302585093,2.427775651,-0.125190558,-0.67743709
F,1,0,1,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13,2.5649493575,2.4088675027,0.1560818548,0.8455330341
M,1,1,0,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8,2.0794415417,2.1642865733,-0.084845032,-0.458744801
I,0,0,0,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,1.9459101491,2.0632020559,-0.117291907,-0.633887625
I,0,0,0,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,2.0794415417,2.1320428795,-0.052601338,-0.284210401
F,1,0,1,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10,2.302585093,2.3215609848,-0.018975892,-0.102848059
F,1,0,1,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10,2.302585093,2.2596823201,0.0429027729,0.2322803912
M,1,1,0,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,2.1972245773,2.2919665642,-0.094741987,-0.512630582
F,1,0,1,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11,2.3978952728,2.3140282465,0.0838670263,0.4552782897
M,1,1,0,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11,2.3978952728,2.3503803826,0.0475148902,0.2576765455
F,1,0,1,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23,3.1354942159,2.4056845234,0.7298096925,3.9479236172
F,1,0,1,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,2.4849066498,2.4210774324,0.0638292174,0.3456434051
F,1,0,1,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16,2.7725887222,2.454788391,0.3178003312,1.7214836031
M,1,1,0,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,2.3978952728,2.3276971962,0.0701980766,0.3796106942
M,1,1,0,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13,2.5649493575,2.3668261477,0.1981232097,1.073176396
F,1,0,1,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13,2.5649493575,2.2861949055,0.2787544519,1.5092779123
M,1,1,0,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,1.9459101491,2.0364038821,-0.090493733,-0.49061504
I,0,0,0,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,2.0794415417,1.7985923656,0.2808491761,1.5184582771
M,1,1,0,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,2.7725887222,2.5297413273,0.242847395,1.317516456
F,1,0,1,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,2.6390573296,2.3881954727,0.2508618569,1.3607027747
M,1,1,0,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,2.8332133441,2.4979913123,0.3352220318,1.8150228456
M,1,1,0,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,2.5649493575,2.4679525366,0.0969968208,0.5251451389
M,1,1,0,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,2.5649493575,2.6189713745,-0.054022017,-0.292578135
F,1,0,1,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,2.4849066498,2.3535640407,0.1313426091,0.7101896022
F,1,0,1,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15,2.7080502011,2.3445771468,0.3634730543,1.9645028001
I,0,0,0,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,2.302585093,2.0329207264,0.2696643666,1.4571901108
M,1,1,0,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,2.6390573296,2.4328035281,0.2062538015,1.1167138644
M,1,1,0,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,2.4849066498,2.3088638652,0.1760427846,0.9529127746
I,0,0,0,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,2.0794415417,2.082710903,-0.003269361,-0.017696417
F,1,0,1,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17,2.8332133441,2.6103039137,0.2229094303,1.2070049136
F,1,0,1,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10,2.302585093,2.2503191543,0.0522659387,0.2834735881
M,1,1,0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,2.3978952728,2.3493458442,0.0485494286,0.263022027
M,1,1,0,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13,2.5649493575,2.3034706953,0.2614786622,1.4194012385
F,1,0,1,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,2.7080502011,2.3596720719,0.3483781292,1.8846669545
I,0,0,0,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,2.7080502011,2.394330998,0.3137192031,1.712018684
I,0,0,0,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9,2.1972245773,2.0799647345,0.1172598428,0.6346436553
M,1,1,0,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15,2.7080502011,2.619430719,0.0886194821,0.4807649125
F,1,0,1,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9,2.1972245773,2.3110115392,-0.113786962,-0.616060431
M,1,1,0,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13,2.5649493575,2.5887368336,-0.023787476,-0.129910204
F,1,0,1,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23,3.1354942159,2.6246036381,0.5108905779,2.9900763615
M,1,1,0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,3.1354942159,2.5519995744,0.5834946415,3.1602654362
F,1,0,1,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18,2.8903717579,2.4422132084,0.4481585495,2.4321853782
M,1,1,0,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,2.3978952728,2.2975945595,0.1003007133,0.5428747461
M,1,1,0,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17,2.8332133441,2.5797668151,0.2534465289,1.3802320892
M,1,1,0,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17,2.8332133441,2.5692384128,0.2639749313,1.4291465437
F,1,0,1,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,2.3978952728,2.4195981531,-0.02170288,-0.117584579
I,0,0,0,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7,1.9459101491,1.857537813,0.088372336,0.478019351
I,0,0,0,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6,1.7917594692,1.6712963562,0.120463113,0.6517015657
I,0,0,0,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6,1.7917594692,1.375214117,0.4165453522,2.2672838267
M,1,1,0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21,3.0445224377,2.5365846985,0.5079377392,2.7640335136
F,1,0,1,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,2.8332133441,2.6560280286,0.1771853154,0.9619225046
F,1,0,1,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,2.5649493575,2.4086846097,0.1562647478,0.845505231
M,1,1,0,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,2.3978952728,2.3461956674,0.0516996054,0.279547314
M,1,1,0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16,2.7725887222,2.3528418522,0.41974687,2.2712623511
F,1,0,1,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9,2.1972245773,2.2380383711,-0.040813794,-0.22095885
F,1,0,1,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12,2.4849066498,2.3791911589,0.1057154909,0.5776142027
M,1,1,0,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19,2.9444389792,2.428648505,0.5157904742,2.7925220366
M,1,1,0,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18,2.8903717579,2.5151984215,0.3751733364,2.0481167399
F,1,0,1,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,2.8332133441,2.6208742487,0.2123390953,1.1578504165
M,1,1,0,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11,2.3978952728,2.3080334025,0.0898618703,0.4860288391
M,1,1,0,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,2.5649493575,2.3617071811,0.2032421763,1.0988090839
M,1,1,0,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,2.5649493575,2.581098294,-0.016148937,-0.087569019
M,1,1,0,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17,2.8332133441,2.4236676871,0.409545657,2.2259873652
F,1,0,1,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,2.9957322736,2.6743993728,0.3213329007,1.7648417551
F,1,0,1,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,2.5649493575,2.5866508965,-0.021701539,-0.118001091
F,1,0,1,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11,2.3978952728,2.4662151033,-0.06831983,-0.370151148
M,1,1,0,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12,2.4849066498,2.3545772607,0.1303293891,0.70509851
F,1,0,1,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18,2.8903717579,2.6093573702,0.2810143877,1.5236186073
M,1,1,0,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18,2.8903717579,2.4163123537,0.4740594042,2.5801794895
F,1,0,1,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15,2.7080502011,2.5208316986,0.1872185025,1.0177235192
F,1,0,1,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12,2.4849066498,2.3731086789,0.1117979709,0.6049711521
M,1,1,0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,2.9444389792,2.4443527773,0.5000862019,2.7212035536
M,1,1,0,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15,2.7080502011,2.4827461191,0.225304082,1.2546874529
F,1,0,1,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16,2.7725887222,2.5679838073,0.2046049149,1.1220090615
I,0,0,0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12,2.4849066498,2.5197503395,-0.03484369,-0.189133254
