Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Pred Formula Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings],Lower 95% Mean Log[Rings],Upper 95% Mean Log[Rings]
I,0,0,0,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9,2.1972245773,2.1955714475,2.1955714475,0.0016531298,0.008829775,2.1801226726,2.2110202224
I,0,0,0,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9,2.1972245773,2.2115341144,2.2115341144,-0.014309537,-0.076416119,2.1978597988,2.22520843
I,0,0,0,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9,2.1972245773,2.2574370448,2.2574370448,-0.060212467,-0.322995745,2.2201205547,2.2947535349
F,1,0,1,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9,2.1972245773,2.4809977474,2.4809977474,-0.28377317,-1.515281013,2.4682039636,2.4937915312
I,0,0,0,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9,2.1972245773,2.2374981161,2.2374981161,-0.040273539,-0.215125121,2.2214840648,2.2535121674
I,0,0,0,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8,2.0794415417,2.2400657253,2.2400657253,-0.160624184,-0.858147667,2.2225751694,2.2575562813
I,0,0,0,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10,2.302585093,2.3972359965,2.3972359965,-0.094650904,-0.505661562,2.3800299016,2.4144420915
I,0,0,0,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9,2.1972245773,2.3584024103,2.3584024103,-0.161177833,-0.861145748,2.3405563816,2.376248439
I,0,0,0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,10,2.302585093,2.3926404806,2.3926404806,-0.090055388,-0.481158327,2.3746739916,2.4106069696
I,0,0,0,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6,1.7917594692,2.3015934482,2.3015934482,-0.509833979,-2.724564596,2.2821356671,2.3210512293
M,1,1,0,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8,2.0794415417,2.2527087921,2.2527087921,-0.17326725,-0.925126031,2.2408580015,2.2645595826
M,1,1,0,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8,2.0794415417,2.332101031,2.332101031,-0.252659489,-1.350188072,2.3127980326,2.3514040294
M,1,1,0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7,1.9459101491,2.1901507537,2.1901507537,-0.244240605,-1.304655609,2.1740077681,2.2062937392
I,0,0,0,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9,2.1972245773,2.2764780412,2.2764780412,-0.079253464,-0.42356907,2.2564295505,2.2965265319
M,1,1,0,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9,2.1972245773,2.2709094376,2.2709094376,-0.07368486,-0.393490918,2.2573021446,2.2845167306
I,0,0,0,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9,2.1972245773,2.3716739213,2.3716739213,-0.174449344,-0.932058016,2.353788733,2.3895591095
F,1,0,1,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11,2.3978952728,2.4106771026,2.4106771026,-0.01278183,-0.068259083,2.3968219467,2.4245322586
M,1,1,0,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7,1.9459101491,2.2233619357,2.2233619357,-0.277451787,-1.482219358,2.2063410795,2.2403827918
M,1,1,0,0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11,2.3978952728,2.308773067,2.308773067,0.0891222058,0.4757858975,2.2985779776,2.3189681564
I,0,0,0,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9,2.1972245773,2.270460194,2.270460194,-0.073235617,-0.391398477,2.2505543675,2.2903660205
M,1,1,0,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9,2.1972245773,2.2689347082,2.2689347082,-0.071710131,-0.382830152,2.2587401595,2.279129257
I,0,0,0,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10,2.302585093,2.3176801604,2.3176801604,-0.015095067,-0.080681967,2.2970913351,2.3382689857
M,1,1,0,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11,2.3978952728,2.305006684,2.305006684,0.0928885888,0.4959202736,2.294109086,2.315904282
M,1,1,0,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11,2.3978952728,2.3555469527,2.3555469527,0.0423483201,0.2261420823,2.3421987022,2.3688952032
M,1,1,0,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9,2.1972245773,2.4185919639,2.4185919639,-0.221367387,-1.181698275,2.4094462091,2.4277377187
M,1,1,0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13,2.5649493575,2.2106100761,2.2106100761,0.3543392813,1.89264437,2.1950204166,2.2261997357
F,1,0,1,0.57,0.44,0.12,0.803,0.382,0.1525,0.234,9,2.1972245773,2.235248261,2.235248261,-0.038023684,-0.203026337,2.2230420079,2.2474545142
M,1,1,0,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9,2.1972245773,2.3396232885,2.3396232885,-0.142398711,-0.760532945,2.3248037813,2.3544427958
M,1,1,0,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9,2.1972245773,2.1826003976,2.1826003976,0.0146241797,0.078090384,2.1697052603,2.195495535
M,1,1,0,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,10,2.302585093,2.2954212878,2.2954212878,0.0071638052,0.0382539114,2.2823816726,2.308460903
M,1,1,0,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11,2.3978952728,2.3193459027,2.3193459027,0.0785493701,0.4193624421,2.3085247158,2.3301670895
M,1,1,0,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10,2.302585093,2.3439563755,2.3439563755,-0.041371283,-0.220857808,2.3341293583,2.3537833927
F,1,0,1,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,9,2.1972245773,2.4427359115,2.4427359115,-0.245511334,-1.311098861,2.4289598766,2.4565119465
I,0,0,0,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10,2.302585093,2.1891126875,2.1891126875,0.1134724055,0.6069004039,2.1646008681,2.2136245069
I,0,0,0,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11,2.3978952728,2.3201750379,2.3201750379,0.0777202349,0.4152649195,2.3019884369,2.338361639
F,1,0,1,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9,2.1972245773,2.2786929461,2.2786929461,-0.081468369,-0.435020855,2.2659183991,2.291467493
M,1,1,0,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9,2.1972245773,2.3381682277,2.3381682277,-0.14094365,-0.753018123,2.3205219949,2.3558144605
F,1,0,1,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9,2.1972245773,2.1981349899,2.1981349899,-0.000910413,-0.004861583,2.1849220911,2.2113478887
F,1,0,1,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10,2.302585093,2.4125414555,2.4125414555,-0.109956362,-0.588091065,2.3880668772,2.4370160337
M,1,1,0,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10,2.302585093,2.2354850094,2.2354850094,0.0671000835,0.3583574545,2.221060003,2.2499100159
I,0,0,0,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10,2.302585093,2.2645034566,2.2645034566,0.0380816364,0.2034751794,2.2462369498,2.2827699634
M,1,1,0,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,2.1972245773,2.3675061012,2.3675061012,-0.170281524,-0.909211051,2.3553256365,2.3796865658
M,1,1,0,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10,2.302585093,2.1894368257,2.1894368257,0.1131482673,0.6042196178,2.1760487769,2.2028248744
F,1,0,1,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11,2.3978952728,2.2389728083,2.2389728083,0.1589224645,0.8485271327,2.2272266142,2.2507190025
M,1,1,0,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11,2.3978952728,2.4914730878,2.4914730878,-0.093577815,-0.49972471,2.4778321986,2.505113977
M,1,1,0,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10,2.302585093,2.4603035343,2.4603035343,-0.157718441,-0.842081655,2.4487899396,2.471817129
F,1,0,1,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11,2.3978952728,2.4042432406,2.4042432406,-0.006347968,-0.033892066,2.3929584958,2.4155279854
I,0,0,0,0.605,0.49,0.165,1.071,0.482,0.1935,0.352,10,2.302585093,2.4208822938,2.4208822938,-0.118297201,-0.633256552,2.391993495,2.4497710927
F,1,0,1,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9,2.1972245773,2.4409949995,2.4409949995,-0.243770422,-1.302310547,2.4238183022,2.4581716968
M,1,1,0,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10,2.302585093,2.3869760705,2.3869760705,-0.084390977,-0.450482652,2.3782086319,2.3957435091
M,1,1,0,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8,2.0794415417,2.3395311108,2.3395311108,-0.260089569,-1.388740096,2.3273287014,2.3517335203
F,1,0,1,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10,2.302585093,2.3592218671,2.3592218671,-0.056636774,-0.302396782,2.34752301,2.3709207243
F,1,0,1,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8,2.0794415417,2.294457192,2.294457192,-0.21501565,-1.148114863,2.2818241216,2.3070902624
F,1,0,1,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,11,2.3978952728,2.2622255397,2.2622255397,0.1356697331,0.7243943577,2.2501754863,2.2742755931
M,1,1,0,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11,2.3978952728,2.337902926,2.337902926,0.0599923468,0.3202969766,2.3267939646,2.3490118874
M,1,1,0,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9,2.1972245773,2.2732644194,2.2732644194,-0.076039842,-0.405993983,2.2615725811,2.2849562577
F,1,0,1,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12,2.4849066498,2.3248686399,2.3248686399,0.1600380099,0.8545020151,2.3128738275,2.3368634522
M,1,1,0,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10,2.302585093,2.3886431371,2.3886431371,-0.086058044,-0.459631821,2.373685197,2.4036010773
M,1,1,0,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11,2.3978952728,2.3419601489,2.3419601489,0.0559351239,0.2987021076,2.3284160999,2.3555041979
M,1,1,0,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9,2.1972245773,2.5163595413,2.5163595413,-0.319134964,-1.703833417,2.5053698444,2.5273492382
F,1,0,1,0.62,0.495,0.17,1.062,0.372,0.213,0.34,11,2.3978952728,2.5756117114,2.5756117114,-0.177716439,-0.949447805,2.5582564063,2.5929670165
M,1,1,0,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15,2.7080502011,2.6817340052,2.6817340052,0.0263161959,0.1407015157,2.6592162158,2.7042517947
M,1,1,0,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,9,2.1972245773,2.3279737121,2.3279737121,-0.130749135,-0.698291505,2.3134510966,2.3424963275
M,1,1,0,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12,2.4849066498,2.416710588,2.416710588,0.0681960618,0.3641636892,2.4035462519,2.4298749241
M,1,1,0,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,2.3978952728,2.2971135954,2.2971135954,0.1007816774,0.538270074,2.2821548955,2.3120722954
M,1,1,0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9,2.1972245773,2.423033337,2.423033337,-0.22580876,-1.205954733,2.4086764844,2.4373901895
M,1,1,0,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10,2.302585093,2.3615381415,2.3615381415,-0.058953049,-0.314805978,2.3483889377,2.3746873454
F,1,0,1,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11,2.3978952728,2.3538426197,2.3538426197,0.0440526531,0.235406048,2.3347511994,2.37293404
F,1,0,1,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,11,2.3978952728,2.6312071023,2.6312071023,-0.233311829,-1.247327903,2.609130726,2.6532834786
F,1,0,1,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11,2.3978952728,2.2194592097,2.2194592097,0.1784360631,0.9530297791,2.2043933365,2.2345250829
M,1,1,0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9,2.1972245773,2.2218919453,2.2218919453,-0.024667368,-0.131740492,2.207400681,2.2363832095
F,1,0,1,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11,2.3978952728,2.3519782206,2.3519782206,0.0459170522,0.2451445578,2.34111605,2.3628403911
F,1,0,1,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11,2.3978952728,2.5896636903,2.5896636903,-0.191768417,-1.024228326,2.574683322,2.6046440586
F,1,0,1,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11,2.3978952728,2.3352245498,2.3352245498,0.062670723,0.3345866344,2.3244881186,2.345960981
M,1,1,0,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12,2.4849066498,2.3203549128,2.3203549128,0.164551737,0.8791379677,2.3028029002,2.3379069254
M,1,1,0,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12,2.4849066498,2.2787593791,2.2787593791,0.2061472707,1.101310029,2.2616105665,2.2959081917
M,1,1,0,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10,2.302585093,2.4370637421,2.4370637421,-0.134478649,-0.718108109,2.42391949,2.4502079942
M,1,1,0,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11,2.3978952728,2.4383833439,2.4383833439,-0.040488071,-0.216370939,2.4188697379,2.4578969499
F,1,0,1,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10,2.302585093,2.322877006,2.322877006,-0.020291913,-0.108379428,2.3078105973,2.3379434146
F,1,0,1,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10,2.302585093,2.5798933444,2.5798933444,-0.277308251,-1.480869761,2.5663403608,2.5934463279
I,0,0,0,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10,2.302585093,2.3506455249,2.3506455249,-0.048060432,-0.257288019,2.3214730071,2.3798180427
M,1,1,0,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9,2.1972245773,2.388830802,2.388830802,-0.191606225,-1.023120655,2.3761493888,2.4015122152
F,1,0,1,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11,2.3978952728,2.2755014691,2.2755014691,0.1223938037,0.6537948615,2.2592808229,2.2917221152
F,1,0,1,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12,2.4849066498,2.405022123,2.405022123,0.0798845268,0.4269488765,2.3848623425,2.4251819034
M,1,1,0,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11,2.3978952728,2.2640986094,2.2640986094,0.1337966634,0.7145398216,2.2499390931,2.2782581257
F,1,0,1,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16,2.7725887222,2.5862484531,2.5862484531,0.1863402691,0.9953063085,2.5706524039,2.6018445023
I,0,0,0,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,10,2.302585093,2.4113402594,2.4113402594,-0.108755166,-0.583151026,2.3755321069,2.4471484118
F,1,0,1,0.65,0.51,0.155,1.189,0.483,0.278,0.3645,13,2.5649493575,2.4382905382,2.4382905382,0.1266588193,0.67640654,2.4243250199,2.4522560565
F,1,0,1,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10,2.302585093,2.5357480302,2.5357480302,-0.233162937,-1.245063851,2.5227077757,2.5487882846
F,1,0,1,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11,2.3978952728,2.4855034772,2.4855034772,-0.087608204,-0.46832139,2.4640627926,2.5069441618
F,1,0,1,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10,2.302585093,2.4099761045,2.4099761045,-0.107391011,-0.57341032,2.3977855884,2.4221666206
M,1,1,0,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9,2.1972245773,2.291045878,2.291045878,-0.093821301,-0.50133116,2.2723199753,2.3097717807
F,1,0,1,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10,2.302585093,2.5408281503,2.5408281503,-0.238243057,-1.272849728,2.5232352881,2.5584210125
M,1,1,0,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11,2.3978952728,2.4148663191,2.4148663191,-0.016971046,-0.090638105,2.4002529206,2.4294797177
F,1,0,1,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10,2.302585093,2.518634099,2.518634099,-0.216049006,-1.154573724,2.4991593693,2.5381088286
M,1,1,0,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12,2.4849066498,2.4930777976,2.4930777976,-0.008171148,-0.043661502,2.4744788154,2.5116767797
M,1,1,0,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12,2.4849066498,2.3468728897,2.3468728897,0.1380337601,0.7370595666,2.3341907293,2.3595550502
F,1,0,1,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12,2.4849066498,2.3678152061,2.3678152061,0.1170914437,0.6253234308,2.3536910784,2.3819393338
M,1,1,0,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,11,2.3978952728,2.4169438866,2.4169438866,-0.019048614,-0.101761732,2.3999931612,2.433894612
F,1,0,1,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11,2.3978952728,2.4210602955,2.4210602955,-0.023165023,-0.123722414,2.4061639078,2.4359566831
M,1,1,0,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,12,2.4849066498,2.4439043097,2.4439043097,0.0410023401,0.2189607732,2.4302690961,2.4575395233
M,1,1,0,0.68,0.54,0.155,1.534,0.671,0.379,0.384,10,2.302585093,2.3860675457,2.3860675457,-0.083482453,-0.445962833,2.3694428351,2.4026922563
M,1,1,0,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10,2.302585093,2.3108122051,2.3108122051,-0.008227112,-0.043956849,2.2928314139,2.3287929963
M,1,1,0,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11,2.3978952728,2.5677410076,2.5677410076,-0.169845735,-0.907501397,2.5495285698,2.5859534454
M,1,1,0,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13,2.5649493575,2.4450271054,2.4450271054,0.1199222521,0.6405217045,2.4297518928,2.4603023179
F,1,0,1,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13,2.5649493575,2.7794708227,2.7794708227,-0.214521465,-1.149558221,2.7460743852,2.8128672603
M,1,1,0,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12,2.4849066498,2.3119420123,2.3119420123,0.1729646375,0.9243139587,2.2925822972,2.3313017274
M,1,1,0,0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13,2.5649493575,2.5113534145,2.5113534145,0.0535959429,0.2865482943,2.4889701432,2.5337366858
F,1,0,1,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10,2.302585093,2.3309274837,2.3309274837,-0.028342391,-0.151594633,2.3061622743,2.3556926931
F,1,0,1,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12,2.4849066498,2.4214443761,2.4214443761,0.0634622737,0.3392893241,2.3992185921,2.44367016
M,1,1,0,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11,2.3978952728,2.441624424,2.441624424,-0.043729151,-0.234755311,2.4016516791,2.4815971689
F,1,0,1,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11,2.3978952728,2.36308139,2.36308139,0.0348138828,0.1861904333,2.3388522573,2.3873105227
F,1,0,1,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,11,2.3978952728,2.3184877031,2.3184877031,0.0794075697,0.4248475007,2.2922216868,2.3447537193
M,1,1,0,0.76,0.605,0.215,2.173,0.801,0.4915,0.646,13,2.5649493575,2.6436576808,2.6436576808,-0.078708323,-0.423021901,2.6000317332,2.6872836285
I,0,0,0,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4,1.3862943611,1.3389218824,1.3389218824,0.0473724787,0.2545065193,1.2965027415,1.3813410233
I,0,0,0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4,1.3862943611,1.2596821806,1.2596821806,0.1266121806,0.6805719179,1.2156623343,1.3037020269
I,0,0,0,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5,1.6094379124,1.4722765134,1.4722765134,0.1371613991,0.7340688921,1.4444810762,1.5000719506
I,0,0,0,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,6,1.7917594692,1.693200293,1.693200293,0.0985591763,0.5265382119,1.6760365816,1.7103640043
I,0,0,0,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7,1.9459101491,1.6869781162,1.6869781162,0.2589320329,1.3834445778,1.6690517353,1.7049044971
I,0,0,0,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6,1.7917594692,1.7450889517,1.7450889517,0.0466705175,0.2493388461,1.7276652571,1.7625126463
I,0,0,0,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5,1.6094379124,1.703585932,1.703585932,-0.09414802,-0.50293043,1.6870874608,1.7200844031
I,0,0,0,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6,1.7917594692,1.6893539789,1.6893539789,0.1024054904,0.5470319669,1.6729925707,1.705715387
I,0,0,0,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6,1.7917594692,1.7197612297,1.7197612297,0.0719982396,0.3846285568,1.7028373471,1.7366851122
I,0,0,0,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,6,1.7917594692,1.8008087866,1.8008087866,-0.009049317,-0.048336132,1.785093055,1.8165245181
I,0,0,0,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7,1.9459101491,1.7836960109,1.7836960109,0.1622141381,0.866591715,1.7666592388,1.800732783
I,0,0,0,0.335,0.25,0.08,0.1695,0.0695,0.044,0.0495,6,1.7917594692,1.8462380834,1.8462380834,-0.054478614,-0.290964724,1.8313702047,1.8611059622
I,0,0,0,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7,1.9459101491,1.8109679096,1.8109679096,0.1349422394,0.721203511,1.7908587419,1.8310770774
I,0,0,0,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6,1.7917594692,1.8307137807,1.8307137807,-0.038954311,-0.208079923,1.8146357406,1.8467918208
I,0,0,0,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9,2.1972245773,1.8526042265,1.8526042265,0.3446203509,1.840424309,1.8385351464,1.8666733065
I,0,0,0,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6,1.7917594692,1.8676011126,1.8676011126,-0.075841643,-0.405016106,1.8538100893,1.8813921358
I,0,0,0,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7,1.9459101491,1.8670727557,1.8670727557,0.0788373933,0.4210611157,1.8522342617,1.8819112498
I,0,0,0,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6,1.7917594692,1.9018323682,1.9018323682,-0.110072899,-0.587832974,1.8878407348,1.9158240017
I,0,0,0,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7,1.9459101491,1.8713208588,1.8713208588,0.0745892902,0.3983492604,1.8570220628,1.8856196549
I,0,0,0,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7,1.9459101491,1.8911590856,1.8911590856,0.0547510635,0.2923755805,1.8777334447,1.9045847264
I,0,0,0,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7,1.9459101491,1.8730383047,1.8730383047,0.0728718444,0.3902254853,1.8425820257,1.9034945836
I,0,0,0,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,8,2.0794415417,2.0135867839,2.0135867839,0.0658547578,0.3517156162,1.9989246922,2.0282488755
I,0,0,0,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7,1.9459101491,1.9616282107,1.9616282107,-0.015718062,-0.083930144,1.9489041972,1.9743522243
I,0,0,0,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8,2.0794415417,2.0173607614,2.0173607614,0.0620807803,0.3314748731,2.0052757848,2.0294457379
I,0,0,0,0.435,0.325,0.12,0.346,0.159,0.084,0.095,7,1.9459101491,2.0031975641,2.0031975641,-0.057287415,-0.305902804,1.9903461187,2.0160490095
M,1,1,0,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8,2.0794415417,2.0716236531,2.0716236531,0.0078178886,0.0417611513,2.0553855073,2.0878617989
I,0,0,0,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7,1.9459101491,2.09346184,2.09346184,-0.147551691,-0.787794155,2.082033948,2.104889732
M,1,1,0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,2.302585093,2.1900801086,2.1900801086,0.1125049844,0.6007052619,2.1780924533,2.2020677639
I,0,0,0,0.47,0.375,0.105,0.441,0.167,0.0865,0.145,10,2.302585093,2.1818285026,2.1818285026,0.1207565904,0.6451046287,2.1649107042,2.198746301
I,0,0,0,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8,2.0794415417,2.0425311338,2.0425311338,0.0369104079,0.1971117785,2.0287587386,2.056303529
M,1,1,0,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9,2.1972245773,2.1388858829,2.1388858829,0.0583386945,0.31151476,2.126090324,2.1516814417
M,1,1,0,0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,12,2.4849066498,2.2034370694,2.2034370694,0.2814695804,1.5030786993,2.1899718017,2.216902337
M,1,1,0,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10,2.302585093,2.2349443124,2.2349443124,0.0676407806,0.3613230953,2.2186275744,2.2512610504
I,0,0,0,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9,2.1972245773,2.2405728009,2.2405728009,-0.043348224,-0.232144754,2.2097969655,2.2713486363
M,1,1,0,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,9,2.1972245773,2.2156063673,2.2156063673,-0.01838179,-0.098141441,2.2042857753,2.2269269592
M,1,1,0,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9,2.1972245773,2.1568724032,2.1568724032,0.0403521741,0.2154617616,2.1445377154,2.1692070911
F,1,0,1,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9,2.1972245773,2.2675148161,2.2675148161,-0.070290239,-0.375346201,2.2543584747,2.2806711576
F,1,0,1,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9,2.1972245773,2.2948078954,2.2948078954,-0.097583318,-0.521040328,2.2826636892,2.3069521015
M,1,1,0,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,11,2.3978952728,2.341186175,2.341186175,0.0567090978,0.3027493379,2.3308451551,2.3515271949
F,1,0,1,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10,2.302585093,2.3917937706,2.3917937706,-0.089208678,-0.476593909,2.3744761541,2.4091113871
F,1,0,1,0.56,0.41,0.16,0.8215,0.342,0.184,0.253,9,2.1972245773,2.3564589524,2.3564589524,-0.159234375,-0.850360783,2.3426266741,2.3702912307
M,1,1,0,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9,2.1972245773,2.2601264018,2.2601264018,-0.062901824,-0.335801401,2.2501274354,2.2701253682
F,1,0,1,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10,2.302585093,2.2610237047,2.2610237047,0.0415613883,0.2219010236,2.2495769298,2.2724704795
